,date,tobs
0,2017-02-02,59.0
1,2017-02-08,59.0
2,2017-02-09,59.0
3,2017-02-03,60.0
4,2017-04-30,60.0
5,2017-02-25,61.0
6,2016-12-15,62.0
7,2017-01-06,62.0
8,2017-01-09,62.0
9,2017-01-10,62.0
10,2017-02-10,62.0
11,2017-03-07,62.0
12,2016-11-07,63.0
13,2017-01-04,63.0
14,2017-01-05,63.0
15,2017-01-11,63.0
16,2017-01-03,64.0
17,2017-02-07,64.0
18,2017-03-08,64.0
19,2016-12-13,65.0
20,2017-01-12,65.0
21,2017-01-28,65.0
22,2017-02-16,65.0
23,2017-02-27,65.0
24,2017-03-18,65.0
25,2017-05-01,65.0
26,2016-12-12,66.0
27,2017-01-27,66.0
28,2017-03-10,66.0
29,2017-03-13,66.0
30,2017-03-16,66.0
31,2016-11-10,67.0
32,2016-12-05,67.0
33,2016-12-06,67.0
34,2016-12-31,67.0
35,2017-02-26,67.0
36,2017-03-06,67.0
37,2017-03-09,67.0
38,2017-03-14,67.0
39,2017-04-04,67.0
40,2017-04-06,67.0
41,2017-04-10,67.0
42,2017-04-17,67.0
43,2017-04-19,67.0
44,2017-04-28,67.0
45,2017-05-09,67.0
46,2016-11-09,68.0
47,2016-12-09,68.0
48,2016-12-14,68.0
49,2017-01-30,68.0
50,2017-01-31,68.0
51,2017-02-01,68.0
52,2017-02-11,68.0
53,2017-03-17,68.0
54,2017-03-29,68.0
55,2017-04-18,68.0
56,2017-04-24,68.0
57,2017-05-19,68.0
58,2016-12-07,69.0
59,2016-12-10,69.0
60,2016-12-11,69.0
61,2016-12-18,69.0
62,2016-12-30,69.0
63,2017-01-13,69.0
64,2017-01-17,69.0
65,2017-01-20,69.0
66,2017-01-25,69.0
67,2017-01-29,69.0
68,2017-02-24,69.0
69,2017-03-12,69.0
70,2017-03-15,69.0
71,2017-03-20,69.0
72,2017-04-12,69.0
73,2017-04-13,69.0
74,2017-04-21,69.0
75,2017-05-18,69.0
76,2017-07-10,69.0
77,2016-11-08,70.0
78,2016-12-02,70.0
79,2016-12-04,70.0
80,2016-12-08,70.0
81,2016-12-17,70.0
82,2017-01-02,70.0
83,2017-01-07,70.0
84,2017-01-08,70.0
85,2017-01-15,70.0
86,2017-01-26,70.0
87,2017-02-04,70.0
88,2017-02-12,70.0
89,2017-02-17,70.0
90,2017-02-19,70.0
91,2017-02-20,70.0
92,2017-04-03,70.0
93,2017-04-11,70.0
94,2017-04-27,70.0
95,2017-05-03,70.0
96,2017-05-05,70.0
97,2017-05-08,70.0
98,2017-05-11,70.0
99,2016-10-10,71.0
100,2016-11-06,71.0
101,2016-12-23,71.0
102,2016-12-27,71.0
103,2017-01-19,71.0
104,2017-01-21,71.0
105,2017-01-22,71.0
106,2017-02-21,71.0
107,2017-02-22,71.0
108,2017-02-23,71.0
109,2017-03-01,71.0
110,2017-03-24,71.0
111,2017-03-31,71.0
112,2017-04-05,71.0
113,2017-04-16,71.0
114,2017-05-22,71.0
115,2017-05-23,71.0
116,2017-06-25,71.0
117,2016-10-09,72.0
118,2016-12-03,72.0
119,2016-12-26,72.0
120,2016-12-28,72.0
121,2017-01-01,72.0
122,2017-01-18,72.0
123,2017-01-23,72.0
124,2017-01-24,72.0
125,2017-02-28,72.0
126,2017-03-03,72.0
127,2017-03-21,72.0
128,2017-03-23,72.0
129,2017-04-22,72.0
130,2017-04-25,72.0
131,2017-04-29,72.0
132,2017-05-30,72.0
133,2017-06-09,72.0
134,2017-06-19,72.0
135,2017-06-20,72.0
136,2017-06-22,72.0
137,2017-06-23,72.0
138,2017-07-11,72.0
139,2016-08-28,73.0
140,2016-09-06,73.0
141,2016-10-08,73.0
142,2016-10-26,73.0
143,2016-11-19,73.0
144,2016-11-21,73.0
145,2016-11-27,73.0
146,2016-11-29,73.0
147,2016-11-30,73.0
148,2016-12-22,73.0
149,2017-02-05,73.0
150,2017-02-13,73.0
151,2017-03-02,73.0
152,2017-03-05,73.0
153,2017-03-22,73.0
154,2017-03-30,73.0
155,2017-06-16,73.0
156,2017-06-26,73.0
157,2016-09-07,74.0
158,2016-09-21,74.0
159,2016-10-23,74.0
160,2016-10-28,74.0
161,2016-11-01,74.0
162,2016-11-12,74.0
163,2016-11-23,74.0
164,2016-11-25,74.0
165,2016-12-01,74.0
166,2016-12-21,74.0
167,2016-12-24,74.0
168,2016-12-25,74.0
169,2016-12-29,74.0
170,2017-01-16,74.0
171,2017-02-18,74.0
172,2017-03-19,74.0
173,2017-03-28,74.0
174,2017-04-01,74.0
175,2017-04-07,74.0
176,2017-04-14,74.0
177,2017-04-26,74.0
178,2017-05-10,74.0
179,2017-05-15,74.0
180,2017-05-16,74.0
181,2017-05-17,74.0
182,2017-05-21,74.0
183,2017-05-24,74.0
184,2017-05-25,74.0
185,2017-05-26,74.0
186,2017-05-27,74.0
187,2017-05-29,74.0
188,2017-06-10,74.0
189,2017-06-11,74.0
190,2017-06-12,74.0
191,2017-06-14,74.0
192,2017-06-21,74.0
193,2017-07-06,74.0
194,2017-07-12,74.0
195,2017-07-13,74.0
196,2016-08-27,75.0
197,2016-09-14,75.0
198,2016-10-06,75.0
199,2016-10-24,75.0
200,2016-11-02,75.0
201,2016-11-03,75.0
202,2016-11-04,75.0
203,2016-11-05,75.0
204,2016-11-16,75.0
205,2016-11-18,75.0
206,2016-11-20,75.0
207,2016-11-22,75.0
208,2016-11-24,75.0
209,2016-11-26,75.0
210,2016-11-28,75.0
211,2016-12-16,75.0
212,2017-02-06,75.0
213,2017-02-15,75.0
214,2017-04-02,75.0
215,2017-05-02,75.0
216,2017-05-04,75.0
217,2017-05-07,75.0
218,2017-05-12,75.0
219,2017-05-31,75.0
220,2017-06-05,75.0
221,2017-06-06,75.0
222,2017-06-07,75.0
223,2017-06-08,75.0
224,2017-06-15,75.0
225,2017-06-18,75.0
226,2017-07-07,75.0
227,2017-07-24,75.0
228,2017-07-26,75.0
229,2016-09-12,76.0
230,2016-09-20,76.0
231,2016-10-07,76.0
232,2016-10-25,76.0
233,2016-10-27,76.0
234,2016-10-30,76.0
235,2016-10-31,76.0
